id,Position,Track Name,Artist,Popularity
1,1,Ella Baila Sola,Eslabon Armado,93
2,2,Last Night,Morgan Wallen,89
3,3,Dial Drunk,Noah Kahan,79
4,4,"Peso Pluma: Bzrp Music Sessions, Vol. 55",Bizarrap,95
5,5,Kill Bill,SZA,94
6,6,See You Again (feat. Kali Uchis),"Tyler, The Creator",95
7,7,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)",Metro Boomin,88
8,8,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)",Metro Boomin,89
9,9,All My Life (feat. J. Cole),Lil Durk,84
10,10,Fast Car,Luke Combs,90
11,11,WHERE SHE GOES,Bad Bunny,98
12,12,un x100to,Grupo Frontera,100
13,13,Cruel Summer,Taylor Swift,94
14,14,TQM,Fuerza Regida,94
15,15,"Am I Dreaming (Metro Boomin & A$AP Rocky, Roisee)",Metro Boomin,88
16,16,La Bebe - Remix,Yng Lvcas,99
17,17,Area Codes,Kali,89
18,18,Self Love (Spider-Man: Across the Spider-Verse) (Metro Boomin & Coi Leray),Metro Boomin,86
19,19,Boy's a Liar Pt. 2,PinkPantheress,95
20,20,You Proof,Morgan Wallen,86
21,21,Cupid - Twin Ver.,FIFTY FIFTY,98
22,22,Search & Rescue,Drake,91
23,23,Stand By Me (feat. Morgan Wallen),Lil Durk,87
24,24,Something in the Orange,Zach Bryan,89
25,25,Anti-Hero,Taylor Swift,95
26,26,No Role Modelz,J. Cole,91
27,27,Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,86
28,28,Wasted On You,Morgan Wallen,87
29,29,Flowers,Miley Cyrus,91
30,30,As It Was,Harry Styles,93
31,31,Bye,Peso Pluma,88
32,32,PRC,Peso Pluma,95
33,33,El Azul,Junior H,95
34,34,Superhero (Heroes & Villains) [with Future & Chris Brown],Metro Boomin,90
35,35,Creepin' (with The Weeknd & 21 Savage),Metro Boomin,96
36,36,Daylight,David Kushner,98
37,37,Thinkinâ€™ Bout Me,Morgan Wallen,87
38,38,Moonlight,Kali Uchis,88
39,39,Money Trees,Kendrick Lamar,85
40,40,Die For You,The Weeknd,91
41,41,Por las Noches,Peso Pluma,93
42,42,Just Wanna Rock,Lil Uzi Vert,90
43,43,Jimmy Cooks (feat. 21 Savage),Drake,90
44,44,golden hour,JVKE,90
45,45,Trance (with Travis Scott & Young Thug),Metro Boomin,91
46,46,Snooze,SZA,92
47,47,AMG,Natanael Cano,94
48,48,Karma,Taylor Swift,89
49,49,Bad Habit,Steve Lacy,85
