id,Rank,Code,Country,Score,Electoral process and pluralism,Functioning of government,Political particiÂ­pation,Political culture,Civil liberties,Regime type,Region
1,1,NOR,Norway,10,10,10,10,10,10,Full democracy,Western Europe
2,2,ISL,Iceland,10,10,9,9,10,10,Full democracy,Western Europe
3,3,SWE,Sweden,9,10,10,8,10,9,Full democracy,Western Europe
4,4,NZL,New Zealand,9,10,9,9,8,10,Full democracy,Asia & Australasia
5,5,FIN,Finland,9,10,9,9,9,10,Full democracy,Western Europe
6,6,IRL,Ireland,9,10,8,8,10,10,Full democracy,Western Europe
7,7,DNK,Denmark,9,10,9,8,9,9,Full democracy,Western Europe
8,7,CAN,Canada,9,10,10,8,9,10,Full democracy,North America
9,9,AUS,Australia,9,10,9,8,9,10,Full democracy,Asia & Australasia
10,10,CHE,Switzerland,9,10,9,8,9,9,Full democracy,Western Europe
11,11,NLD,Netherlands,9,10,9,8,9,9,Full democracy,Western Europe
12,12,LUX,Luxembourg,9,10,9,7,9,10,Full democracy,Western Europe
13,13,DEU,Germany,9,10,9,8,8,9,Full democracy,Western Europe
14,14,GBR,United Kingdom,9,10,8,9,8,9,Full democracy,Western Europe
15,15,URY,Uruguay,8,10,9,6,8,10,Full democracy,Latin America
16,16,AUT,Austria,8,10,8,8,7,9,Full democracy,Western Europe
17,16,ESP,Spain,8,10,7,8,8,9,Full democracy,Western Europe
18,18,MUS,Mauritius,8,9,8,6,9,9,Full democracy,Sub-Saharan Africa
19,19,CRI,Costa Rica,8,10,8,7,8,9,Full democracy,Latin America
20,20,FRA,France,8,10,8,8,7,9,Full democracy,Western Europe
21,21,CHL,Chile,8,10,9,5,8,9,Full democracy,Latin America
22,22,PRT,Portugal,8,10,8,6,8,9,Full democracy,Western Europe
23,23,KOR,South Korea,8,9,8,7,8,8,Flawed democracy,Asia & Australasia
24,24,JPN,Japan,8,9,8,7,8,9,Flawed democracy,Asia & Australasia
25,25,USA,United States,8,9,7,8,8,8,Flawed democracy,North America
26,26,MLT,Malta,8,9,8,6,8,9,Flawed democracy,Western Europe
27,27,EST,Estonia,8,10,8,7,7,9,Flawed democracy,Eastern Europe
28,28,ISR,Israel,8,9,8,9,8,6,Flawed democracy,Middle East & North Africa
29,29,BWA,Botswana,8,9,7,6,8,9,Flawed democracy,Sub-Saharan Africa
30,30,CPV,Cape Verde,8,9,7,7,7,9,Flawed democracy,Sub-Saharan Africa
33,33,BEL,Belgium,8,10,8,5,7,9,Flawed democracy,Western Europe
34,34,CYP,Cyprus,8,9,6,7,7,9,Flawed democracy,Western Europe
35,35,ITA,Italy,8,10,6,8,6,8,Flawed democracy,Western Europe
36,36,SVN,Slovenia,8,10,7,7,6,8,Flawed democracy,Eastern Europe
37,36,LTU,Lithuania,8,10,6,6,6,9,Flawed democracy,Eastern Europe
38,38,LVA,Latvia,7,10,6,6,7,9,Flawed democracy,Eastern Europe
39,39,GRC,Greece,7,10,5,7,8,9,Flawed democracy,Western Europe
40,40,ZAF,South Africa,7,7,8,8,5,8,Flawed democracy,Sub-Saharan Africa
42,42,SVK,Slovakia,7,10,7,6,6,8,Flawed democracy,Eastern Europe
43,43,MYS,Malaysia,7,9,8,7,6,6,Flawed democracy,Asia & Australasia
44,43,TTO,Trinidad and Tobago,7,10,7,6,6,7,Flawed democracy,Latin America
45,45,COL,Colombia,7,9,7,6,6,9,Flawed democracy,Latin America
46,46,PAN,Panama,7,10,6,7,5,8,Flawed democracy,Latin America
47,47,BGR,Bulgaria,7,9,6,7,4,8,Flawed democracy,Eastern Europe
48,48,ARG,Argentina,7,9,5,6,6,8,Flawed democracy,Latin America
49,49,SUR,Suriname,7,9,6,7,5,8,Flawed democracy,Latin America
50,50,JAM,Jamaica,7,9,7,4,6,8,Flawed democracy,Latin America
51,51,IND,India,7,9,7,7,6,7,Flawed democracy,Asia & Australasia
52,52,BRA,Brazil,7,10,5,6,5,8,Flawed democracy,Latin America
53,53,TUN,Tunisia,7,9,6,7,6,6,Flawed democracy,Middle East & North Africa
54,54,PHL,Philippines,7,9,5,7,4,7,Flawed democracy,Asia & Australasia
55,55,GHA,Ghana,7,8,6,7,6,6,Flawed democracy,Sub-Saharan Africa
56,55,HUN,Hungary,7,9,6,5,6,7,Flawed democracy,Eastern Europe
57,57,POL,Poland,7,9,6,6,4,7,Flawed democracy,Eastern Europe
58,58,PER,Peru,7,9,5,6,6,8,Flawed democracy,Latin America
59,59,HRV,Croatia,7,9,6,6,5,7,Flawed democracy,Eastern Europe
60,60,DOM,Dominican Republic,7,9,5,6,5,7,Flawed democracy,Latin America
61,60,LSO,Lesotho,7,9,5,7,6,7,Flawed democracy,Sub-Saharan Africa
62,62,MNG,Mongolia,7,9,6,6,5,7,Flawed democracy,Asia & Australasia
63,63,ROU,Romania,6,9,6,6,4,8,Flawed democracy,Eastern Europe
64,64,IDN,Indonesia,6,8,7,6,6,6,Flawed democracy,Asia & Australasia
65,65,NAM,Namibia,6,7,5,7,6,8,Flawed democracy,Sub-Saharan Africa
66,66,SRB,Serbia,6,8,5,6,5,7,Flawed democracy,Eastern Europe
67,67,ECU,Ecuador,6,9,5,6,4,7,Flawed democracy,Latin America
68,68,THA,Thailand,6,7,5,6,6,6,Flawed democracy,Asia & Australasia
69,69,LKA,Sri Lanka,6,7,6,6,6,6,Flawed democracy,Asia & Australasia
70,70,PRY,Paraguay,6,9,6,5,4,7,Flawed democracy,Latin America
71,71,SLV,El Salvador,6,9,5,6,4,7,Flawed democracy,Latin America
72,71,GUY,Guyana,6,7,5,6,5,7,Flawed democracy,Latin America
73,73,MEX,Mexico,6,8,6,7,3,6,Flawed democracy,Latin America
74,74,PNG,Papua New Guinea,6,7,6,4,6,8,Flawed democracy,Asia & Australasia
76,75,SGP,Singapore,6,4,8,5,6,7,Flawed democracy,Asia & Australasia
77,77,MKD,North Macedonia,6,7,5,7,4,7,Hybrid regime,Eastern Europe
78,78,UKR,Ukraine,6,7,3,7,6,6,Hybrid regime,Eastern Europe
79,79,ALB,Albania,6,7,5,4,5,8,Hybrid regime,Eastern Europe
80,80,BGD,Bangladesh,6,8,6,6,4,5,Hybrid regime,Asia & Australasia
81,81,FJI,Fiji,6,7,5,6,6,6,Hybrid regime,Asia & Australasia
82,82,SEN,Senegal,6,6,6,4,6,6,Hybrid regime,Sub-Saharan Africa
83,83,MDA,Moldova,6,7,5,6,4,7,Hybrid regime,Eastern Europe
84,84,MNE,Montenegro,6,6,5,6,4,7,Hybrid regime,Eastern Europe
85,85,MDG,Madagascar,6,8,4,6,6,5,Hybrid regime,Sub-Saharan Africa
86,86,ARM,Armenia,6,8,5,6,3,6,Hybrid regime,Eastern Europe
87,87,MWI,Malawi,6,6,4,5,6,6,Hybrid regime,Sub-Saharan Africa
88,88,LBR,Liberia,5,7,3,6,6,6,Hybrid regime,Sub-Saharan Africa
89,89,GEO,Georgia,5,8,3,6,4,6,Hybrid regime,Eastern Europe
90,89,HND,Honduras,5,8,4,4,4,6,Hybrid regime,Latin America
91,91,BTN,Bhutan,5,9,7,3,4,4,Hybrid regime,Asia & Australasia
92,92,NPL,Nepal,5,5,5,5,6,6,Hybrid regime,Asia & Australasia
93,93,GTM,Guatemala,5,7,5,4,4,6,Hybrid regime,Latin America
94,94,KEN,Kenya,5,4,6,7,6,4,Hybrid regime,Sub-Saharan Africa
95,95,TZA,Tanzania,5,6,5,5,6,4,Hybrid regime,Sub-Saharan Africa
96,96,MAR,Morocco,5,5,5,6,6,4,Hybrid regime,Middle East & North Africa
97,97,BEN,Benin,5,5,6,4,6,5,Hybrid regime,Sub-Saharan Africa
98,97,ZMB,Zambia,5,5,3,4,7,6,Hybrid regime,Sub-Saharan Africa
99,99,UGA,Uganda,5,4,4,4,7,6,Hybrid regime,Sub-Saharan Africa
100,100,MLI,Mali,5,6,3,4,6,6,Hybrid regime,Sub-Saharan Africa
101,101,KGZ,Kyrgyzstan,5,6,3,7,4,5,Hybrid regime,Eastern Europe
102,102,BIH,Bosnia and Herzegovina,5,6,3,6,4,6,Hybrid regime,Eastern Europe
103,102,SLE,Sierra Leone,5,7,3,3,6,5,Hybrid regime,Sub-Saharan Africa
104,104,BOL,Bolivia,5,5,4,5,4,7,Hybrid regime,Latin America
105,105,HTI,Haiti,5,5,2,4,6,6,Hybrid regime,Latin America
106,106,LBN,Lebanon,4,4,2,7,5,5,Hybrid regime,Middle East & North Africa
107,107,GMB,Gambia,4,4,4,3,6,4,Hybrid regime,Sub-Saharan Africa
108,108,PAK,Pakistan,4,6,6,2,3,5,Hybrid regime,Asia & Australasia
109,109,NGA,Nigeria,4,5,4,3,4,4,Hybrid regime,Sub-Saharan Africa
110,110,TUR,Turkey,4,3,5,5,5,2,Hybrid regime,Western Europe
112,112,BFA,Burkina Faso,4,4,3,4,5,4,Hybrid regime,Sub-Saharan Africa
113,113,DZA,Algeria,4,3,3,5,5,4,Hybrid regime,Middle East & North Africa
114,114,JOR,Jordan,4,4,4,4,4,4,Authoritarian,Middle East & North Africa
115,114,KWT,Kuwait,4,4,4,4,4,4,Authoritarian,Middle East & North Africa
116,116,MRT,Mauritania,4,4,4,5,3,4,Authoritarian,Sub-Saharan Africa
118,118,IRQ,Iraq,4,5,0,7,5,2,Authoritarian,Middle East & North Africa
119,119,AGO,Angola,4,2,3,6,5,3,Authoritarian,Sub-Saharan Africa
120,120,MOZ,Mozambique,4,3,2,5,5,4,Authoritarian,Sub-Saharan Africa
121,121,GAB,Gabon,4,3,2,4,5,4,Authoritarian,Sub-Saharan Africa
122,122,MMR,Myanmar,4,3,4,3,6,2,Authoritarian,Asia & Australasia
123,122,NIC,Nicaragua,4,1,3,4,6,4,Authoritarian,Latin America
124,124,KHM,Cambodia,4,1,5,3,6,3,Authoritarian,Asia & Australasia
125,125,ETH,Ethiopia,3,0,4,6,5,3,Authoritarian,Sub-Saharan Africa
126,126,TGO,Togo,3,3,2,3,5,3,Authoritarian,Sub-Saharan Africa
127,127,NER,Niger,3,3,1,3,4,5,Authoritarian,Sub-Saharan Africa
128,128,QAT,Qatar,3,0,4,2,6,4,Authoritarian,Middle East & North Africa
129,129,RWA,Rwanda,3,1,4,3,4,3,Authoritarian,Sub-Saharan Africa
130,129,ZWE,Zimbabwe,3,0,3,4,6,3,Authoritarian,Sub-Saharan Africa
131,131,COM,Comoros,3,2,2,4,4,4,Authoritarian,Sub-Saharan Africa
132,132,SWZ,Eswatini,3,1,3,3,6,4,Authoritarian,Sub-Saharan Africa
133,132,GIN,Guinea,3,4,0,4,4,3,Authoritarian,Sub-Saharan Africa
134,134,CON,Republic of the Congo,3,2,3,4,4,3,Authoritarian,Sub-Saharan Africa
135,134,RUS,Russia,3,2,2,5,3,4,Authoritarian,Eastern Europe
136,136,VNM,Vietnam,3,0,3,4,6,3,Authoritarian,Asia & Australasia
137,137,EGY,Egypt,3,3,3,3,4,2,Authoritarian,Middle East & North Africa
138,137,OMN,Oman,3,0,4,3,4,4,Authoritarian,Middle East & North Africa
139,139,KAZ,Kazakhstan,3,1,2,4,4,3,Authoritarian,Eastern Europe
140,140,VEN,Venezuela,3,0,2,5,4,3,Authoritarian,Latin America
141,141,AFG,Afghanistan,3,3,1,4,3,4,Authoritarian,Asia & Australasia
142,141,CMR,Cameroon,3,2,3,3,4,2,Authoritarian,Sub-Saharan Africa
143,143,CUB,Cuba,3,0,4,3,4,3,Authoritarian,Latin America
144,144,DJI,Djibouti,3,0,1,4,6,3,Authoritarian,Sub-Saharan Africa
145,145,ARE,United Arab Emirates,3,0,4,2,5,3,Authoritarian,Middle East & North Africa
146,146,AZE,Azerbaijan,3,1,3,3,4,4,Authoritarian,Eastern Europe
147,147,SDN,Sudan,3,0,2,6,5,1,Authoritarian,Middle East & North Africa
148,148,GNB,Guinea-Bissau,3,5,0,3,3,2,Authoritarian,Sub-Saharan Africa
149,149,BHR,Bahrain,3,1,3,3,4,2,Authoritarian,Middle East & North Africa
150,150,BLR,Belarus,2,1,2,3,4,2,Authoritarian,Eastern Europe
151,151,IRN,Iran,2,0,3,4,3,1,Authoritarian,Middle East & North Africa
152,152,ERI,Eritrea,2,0,2,2,7,1,Authoritarian,Sub-Saharan Africa
153,153,CHN,China,2,0,4,3,3,1,Authoritarian,Asia & Australasia
154,154,BDI,Burundi,2,0,0,3,5,2,Authoritarian,Sub-Saharan Africa
155,155,LAO,Laos,2,0,3,2,5,1,Authoritarian,Asia & Australasia
156,156,LBY,Libya,2,0,0,3,4,3,Authoritarian,Middle East & North Africa
157,157,UZB,Uzbekistan,2,0,2,2,5,1,Authoritarian,Eastern Europe
158,158,YEM,Yemen,2,0,0,4,5,1,Authoritarian,Middle East & North Africa
159,159,SAU,Saudi Arabia,2,0,3,2,3,1,Authoritarian,Middle East & North Africa
160,159,TJK,Tajikistan,2,0,1,2,6,1,Authoritarian,Eastern Europe
161,161,GNQ,Equatorial Guinea,2,0,0,3,4,1,Authoritarian,Sub-Saharan Africa
162,162,TKM,Turkmenistan,2,0,1,2,5,1,Authoritarian,Eastern Europe
163,163,TCD,Chad,2,0,0,2,4,3,Authoritarian,Sub-Saharan Africa
164,164,SYR,Syria,1,0,0,3,4,0,Authoritarian,Middle East & North Africa
165,165,CAF,Central African Republic,1,1,0,1,2,2,Authoritarian,Sub-Saharan Africa
166,166,COD,Democratic Republic of the Congo,1,0,0,2,3,1,Authoritarian,Sub-Saharan Africa
167,167,PRK,North Korea,1,0,3,2,1,0,Authoritarian,Asia & Australasia