us_state,state,2021,2022,2023
MI,Michigan,5740,4386,2352
RI,Rhode Island,1375,1197,1200
NV,Nevada,1033,1138,1164
FL,Florida,2361,2072,1092
NJ,New Jersey,812,979,1032
DE,Delaware,1200,1183,1008
CT,Connecticut,1165,1041,960
OR,Oregon,1050,996,948
NY,New York,1373,1085,924
MD,Maryland,1081,1044,900
KY,Kentucky,1549,1027,876
LA,Louisiana,1128,1002,876
UT,Utah,909,793,792
AZ,Arizona,1234,902,768
MA,Massachusetts,721,784,732
IL,Illinois,854,717,720
SC,South Carolina,939,752,720
CO,Colorado,865,791,720
HI,Hawaii,644,637,684
MN,Minnesota,1043,721,684
MO,Missouri,690,648,672
NH,New Hampshire,745,598,648
WA,Washington,569,593,636
GA,Georgia,683,727,624
CA,California,614,613,600
VA,Virginia,618,555,600
OK,Oklahoma,611,584,600
AL,Alabama,669,641,600
WV,West Virginia,627,650,600
TX,Texas,926,666,576
NC,North Carolina,445,492,552
MS,Mississippi,734,657,540
NM,New Mexico,570,550,540
AR,Arkansas,554,556,540
KS,Kansas,583,549,492
OH,Ohio,528,482,492
AK,Alaska,491,492,492
NE,Nebraska,487,552,480
IN,Indiana,488,489,480
PA,Pennsylvania,587,497,480
ME,Maine,445,452,468
TN,Tennessee,509,514,444
MT,Montana,466,502,444
WI,Wisconsin,515,396,432
ND,North Dakota,512,422,408
IA,Iowa,408,382,408
ID,Idaho,559,428,408
VT,Vermont,535,474,384
WY,Wyoming,410,422,372
SD,South Dakota,424,387,336