Entity,Code,Year,Ratio
Mali,MLI,2014,17.29
Pakistan,PAK,2014,10.25
India,IND,2014,9.83
Tunisia,TUN,2014,7.49
Albania,ALB,2014,7.21
Algeria,DZA,2014,6.75
Turkey,TUR,2014,6.22
Korea,,2014,5.28
Italy,ITA,2014,3.37
Mexico,MEX,2014,3.32
Benin,BEN,2014,3.24
Colombia,COL,2014,3.23
Argentina,ARG,2014,2.88
Tanzania,TZA,2014,2.81
South Africa,ZAF,2014,2.77
Brazil,BRA,2014,2.7
Honduras,HND,2014,2.67
Uruguay,URY,2014,2.64
China,CHN,2014,2.57
United States,USA,2014,1.61
Canada,CAN,2014,1.56
Sweden,SWE,2014,1.49
Denmark,DNK,2014,1.3