Away team alias,Home team alias,Time in seconds,Jersey number,Inches from left baseline,Inches from bottom sideline,Made or miss,scored
FSU,MIZZ,556,10,373,335,miss,0
FSU,MIZZ,808,15,282,459,miss,0
FSU,MIZZ,379,15,339,207,miss,0
FSU,MIZZ,386,11,330,404,miss,0
FSU,MIZZ,1476,11,759,296,miss,0
FSU,MIZZ,663,11,354,267,miss,0
FSU,MIZZ,2182,11,760,327,miss,0
FSU,MIZZ,757,24,60,569,miss,0
FSU,MIZZ,83,3,164,44,miss,0
FSU,MIZZ,868,3,259,75,miss,0
FSU,MIZZ,1701,13,879,517,miss,0
FSU,MIZZ,2251,13,823,473,miss,0
FSU,MIZZ,1198,15,311,452,miss,0
FSU,MIZZ,137,15,345,238,made,1
FSU,MIZZ,628,3,402,153,made,1
FSU,MIZZ,1255,3,762,208,made,1
FSU,MIZZ,2142,13,759,277,made,1
FSU,MIZZ,340,13,346,221,miss,0
FSU,MIZZ,1065,3,374,280,miss,0
FSU,MIZZ,1563,3,830,482,miss,0
FSU,MIZZ,1429,3,784,389,made,1
FSU,MIZZ,1733,3,759,224,made,1
FSU,MIZZ,1317,3,1031,575,made,1
FSU,MIZZ,33,3,74,567,made,1
FSU,MIZZ,776,5,890,527,miss,0
FSU,MIZZ,930,5,832,98,miss,0
FSU,MIZZ,1681,5,337,486,miss,0
FSU,MIZZ,1468,0,75,565,miss,0
FSU,MIZZ,396,23,1050,565,miss,0
FSU,MIZZ,2386,20,72,27,miss,0
FSU,MIZZ,2215,11,63,24,miss,0
FSU,MIZZ,1571,25,356,317,miss,0
FSU,MIZZ,1887,5,330,441,made,1
FSU,MIZZ,447,5,814,490,made,1
FSU,MIZZ,347,5,762,365,made,1
FSU,MIZZ,1038,0,794,146,made,1
FSU,MIZZ,1140,11,851,63,made,1
FSU,MIZZ,581,11,828,492,made,1
FSU,MIZZ,1411,25,109,29,made,1
KU,VILL,2304,5,270,74,miss,0
KU,VILL,307,5,1048,29,miss,0
KU,VILL,1080,5,820,420,miss,0
KU,VILL,2356,5,346,274,miss,0
KU,VILL,1323,4,347,269,miss,0
KU,VILL,1826,1,91,41,miss,0
KU,VILL,468,1,859,458,miss,0
KU,VILL,75,1,796,348,miss,0
KU,VILL,1224,1,220,509,miss,0
KU,VILL,1165,1,773,269,miss,0
KU,VILL,497,25,885,502,miss,0
KU,VILL,1198,25,894,514,miss,0
KU,VILL,1521,25,318,397,miss,0
KU,VILL,1637,14,144,41,miss,0
KU,VILL,1995,14,288,428,miss,0
KU,VILL,55,14,794,322,miss,0
KU,VILL,262,14,810,384,miss,0
KU,VILL,1014,14,1071,560,miss,0
KU,VILL,525,14,1068,34,miss,0
KU,VILL,755,2,1083,43,miss,0
KU,VILL,1007,10,937,68,miss,0
KU,VILL,1798,10,60,552,miss,0
KU,VILL,1856,14,962,39,miss,0
KU,VILL,2292,14,790,368,miss,0
KU,VILL,1125,14,339,356,miss,0
KU,VILL,1622,2,1076,557,miss,0
KU,VILL,2243,2,848,109,miss,0
KU,VILL,1884,0,813,400,miss,0
KU,VILL,1920,0,1083,46,miss,0
KU,VILL,1157,4,359,236,miss,0
KU,VILL,2137,4,808,403,miss,0
KU,VILL,1528,4,773,336,miss,0
KU,VILL,796,4,65,41,miss,0
KU,VILL,987,10,251,85,miss,0
KU,VILL,1333,10,808,341,miss,0
KU,VILL,2175,10,841,130,miss,0
KU,VILL,1261,4,312,116,made,1
KU,VILL,900,1,897,496,made,1
KU,VILL,867,1,782,260,made,1
KU,VILL,720,1,801,249,made,1
KU,VILL,2163,10,326,399,made,1
KU,VILL,1489,4,57,552,made,1
KU,VILL,126,25,870,121,made,1
KU,VILL,620,5,813,425,made,1
KU,VILL,975,5,842,442,made,1
KU,VILL,166,14,817,181,made,1
KU,VILL,1546,10,240,80,made,1
KU,VILL,85,4,1086,569,made,1
KU,VILL,584,4,1086,34,made,1
KU,VILL,677,25,1081,561,made,1
KU,VILL,242,14,917,74,made,1
KU,VILL,417,2,1093,564,made,1
KU,VILL,348,10,820,411,made,1
KU,VILL,1581,14,106,561,made,1
KU,VILL,880,4,336,328,made,1
KU,VILL,1498,4,838,125,made,1
KU,VILL,1458,4,838,133,made,1
KU,VILL,2312,4,880,489,made,1
KU,VILL,2183,14,1090,29,made,1
KU,VILL,763,14,181,533,made,1
KU,VILL,1729,10,1081,37,made,1