PlanetIdentifier,TypeFlag,PlanetaryMassJpt,RadiusJpt,PeriodDays,SemiMajorAxisAU,Eccentricity,PeriastronDeg,LongitudeDeg,AscendingNodeDeg,InclinationDeg,SurfaceTempK,AgeGyr,DiscoveryMethod,DiscoveryYear,LastUpdated,RightAscension,Declination,DistFromSunParsec,HostStarMassSlrMass,HostStarRadiusSlrRad,HostStarMetallicity,HostStarTempK,HostStarAgeGyr
Kepler-131 b,0,0.05074,0.219624,16.092,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66
Kepler-131 c,0,0.025952,0.076549,25.5169,,,,,,,,,transit,2014,14/02/24,19 14 07,+40 56 32,226.3,1.02,1.03,0.12,5685,3.66
HD 114729 A b,2,0.84,,1135,2.08,0.32,,,,,,,RV,2002,12/12/08,13 12 44,-31 52 24,35,0.93,1.46,-0.22,,6
CoRoT-24 b,0,,0.33,5.1134,0.056,0,,,,86.5,1070,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11
CoRoT-24 c,0,0.088,0.44,11.759,0.098,0,,,,89,850,,transit,2014,14/06/08,06 47 41,-03 43 10,600,0.91,0.86,0.3,4950,11
WASP-108 b,0,0.892,1.284,2.6755463,0.0397,,,,,88.49,1590,,transit,2014,14/10/14,13 03 18.73,-49 38 22.8,220,1.167,1.215,0.05,6000,6.4
Kepler-101 b,0,0.161,0.515,3.4876812,0.0474,0.086,231,,,85.82,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9
Kepler-101 c,0,,0.112,6.02976,0.0684,,,,,84.6,,,transit,2014,15/01/27,18 53 01.32,+48 21 18.84,990.44,1.17,1.56,,5667,5.9
Gliese 86 b,2,3.91,,15.76491,0.113,0.0416,269,,,,,,RV,2000,16/02/03,02 10 25.93425,-50 49 25.4179,10.783,0.8,0.855,-0.24,5188,2.5
HD 145377 b,0,5.76,,103.95,0.45,0.307,138.1,,,,,,RV,2008,15/11/17,16 11 36.44543,-27 04 41.4286,55,1.12,1.14,0.12,6046,1.3
beta Ursae Minoris b,0,6.1,,522.3,1.4,0.19,307.4,,,,,,RV,2014,15/11/26,14 50 42.32580,+74 09 19.8142,40.14,1.4,38.3,-0.27,4126,2.95
Kepler-409 b,0,,0.108445,68.9584,,,,,,,,,transit,2014,14/02/24,19 34 43,+46 51 09,69.2,0.92,0.89,0.08,5460,6.8
Kepler-128 b,0,0.00409,0.10298,15.09,,,,,,,,,transit,2013,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090,4.2
Kepler-128 c,0,0.00472,0.10298,22.804,,,,,,,,,transit,2013,16/01/13,18 49 58.128,+43 58 48.64,368.14,1.17,1.55,,6090,4.2
KOI-1299 b,2,4.87,1.12,52.50097,0.3034,0.535,,,,88.9,,,transit,2014,14/10/14,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5
KOI-1299 c,2,2.43,,406.2,,0.498,60.8,,,,,,RV,2014,15/02/03,19 33 07.73,+48 17 09.2,870,1.353,4.16,-0.07,4850,3.5
HAT-P-56 b,0,2.18,1.466,2.7908327,0.0423,,,,,82.13,1840,,transit,2015,15/06/05,06 43 23.52950,+27 15 08.2182,310.5,1.296,1.428,,6566,2.01
Kepler-44 b,0,1,1.09,3.2467293,0.0446,,,,,84.96,,,transit,2011,15/12/03,20 00 25,+45 45 44,2250,1.12,1.35,0.42,5800,5.8
Kepler-94 b,0,0.034099,0.319867,2.50806,,,,,,,,,transit,2014,14/02/24,18 44 47,+47 29 49,223,0.81,0.76,0.34,4781,1.41
Kepler-94 c,0,9.83346,,820.3,,,,,,,,,RV,2014,14/02/24,18 44 47,+47 29 49,223,0.81,0.76,0.34,4781,1.41
TYC 3667-1280-1 b,0,5.4,,26.468,0.21,0.036,240,,,,,,RV,2016,16/04/11,00 51 32.9649,+58 25 34.268,481,1.87,6.26,-0.08,5130,1.3
HD 131664 b,0,85.2,,1951,3.17,0.638,149.7,,320.8,167.1,,,RV,,15/01/14,15 00 06.08,-73 32 07.2,55.43,1.1,1.16,0.32,5886,2.4
HD 27631 b,0,1.45,,2208,3.25,0.12,134,,,,137.7,,RV,2011,12/11/29,04 19 45,-41 57 37,45.5,0.94,1,-0.12,5737,4.4
Kepler-277 b,0,0.27619,0.2661,17.324,,,,,,,,,transit,2013,13/09/13,19 06 19,+39 04 37,951.43,1.19,1.65,,5946,5
Kepler-277 c,0,0.20856,0.3062,33.006,,,,,,,,,transit,2013,13/09/13,19 06 19,+39 04 37,951.43,1.19,1.65,,5946,5
HD 219077 b,0,10.39,,5501,6.22,0.77,57.61,,,,124.9,,RV,2012,12/11/29,23 14 07,-62 42 00,29,1.05,1.91,-0.13,5362,8.9
Kepler-210 c,0,,0.436,7.9725,0.0371023285,,,,,85.73,,,transit,2014,14/03/14,19 30 00,+43 04 59,265.15,0.612,0.65,,4559,0.35
Kepler-210 b,0,,0.3419,2.4532,0.0142076961,,,,,77.86,,,transit,2014,14/03/14,19 30 00,+43 04 59,265.15,0.612,0.65,,4559,0.35
WASP-135 b,0,1.9,1.3,1.4013794,0.0243,0,,,,82,,,transit,2015,15/11/21,17 49 08.4,+29 52 45.0,300,0.98,0.96,0.02,5675,0.6
HAT-P-55 b,0,0.582,1.182,,0.04604,,,,,87.7,1313,,transit,2015,15/06/11,17 37 05.52,+25 43 52.3,480,1.013,1.011,-0.03,5808,4.2
Kepler-45 b,0,0.505,0.96,2.455239,0.027,0.11,,,,87,774,,transit,2011,13/03/25,19 31 30,+41 03 51,333,0.59,0.55,0.08,3820,13.9
WASP-121 b,0,1.183,1.807,1.2749255,0.02544,,,,,87.6,2358,,transit,2015,15/06/08,07 10 24.058,-39 05 50.55,270,1.353,1.458,0.13,6459,1.5
Kepler-25 b,0,,0.2411,6.2385369,0.068,0.05,,,,,1220.6,,transit,2012,15/06/09,19 06 33,+38 20 37,191,1.26,1.34,0.11,6354,2.75
Kepler-25 c,0,,0.4598,12.7203678,0.11,0.01,,,,,959.7,,transit,2012,15/06/09,19 06 33,+38 20 37,191,1.26,1.34,0.11,6354,2.75
Kepler-25 d,0,0.282798,,123,,,,,,,,,RV,2014,14/02/24,19 06 33,+38 20 37,191,1.26,1.34,0.11,6354,2.75
WASP-70 A b,2,0.59,1.164,3.7130203,0.04853,,,,,87.12,1387,,transit,2011,13/10/22,21 01 54,-13 26 00,245,1.106,1.215,-0.006,5700,9.5
BD+49 828 b,0,1.6,,2590,4.2,0.35,170,,,,,,RV,2015,15/11/23,03 02 33.7362,+49 43 47.974,,1.52,7.6,-0.19,4943,2.3
2MASS 0122-2439 B,0,,,,,,,,,,,,imaging,2013,15/04/20,01 22 50.938,-24 39 50.65,36,0.4,,,,0.12
Kepler-102 e,0,0.028091,0.202309,16.1457,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41
Kepler-102 d,0,0.011954,0.107534,10.3117,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41
Kepler-102 f,0,,0.080195,27.4536,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41
Kepler-102 c,0,,0.052856,7.07142,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41
Kepler-102 b,0,,0.042831,5.28696,,,,,,,,,transit,2014,14/02/24,18 45 55,+47 12 28,119.3,0.8,0.74,0.08,4903,1.41
HD 1666 b,0,6.43,,270,0.94,0.63,,,,,,,RV,2015,15/03/26,00 20 52.33959,-19 55 52.4083,110.6,1.5,1.93,0.37,6317,1.76
HATS-10 b,0,0.526,0.969,3.312846,0.04491,,,,,87.79,1407,,transit,2015,15/02/28,19 37 13.80,-22 12 16.1,496,1.101,1.105,0.15,5880,3.3
HATS-5 b,0,0.237,0.912,4.763387,0.0542,,,,,89.3,1025,,transit,2014,14/01/09,04 28 53.489,-21 28 54.90,257,0.936,0.871,0.19,5304,3.6
TrES-4 A b,2,0.494,1.838,3.55392771,0.0516,,,,,83.07,1795,,transit,2007,15/06/08,17 53 13,+37 12 42,485,1.45,1.81,0.28,6295,2.2
WASP-87 b,0,2.18,1.385,1.682795,0.02946,,,,,81.07,2322,,transit,2014,14/10/14,12 21 17.92,-52 50 27.0,240,1.204,1.627,-0.41,6450,3.8
Mercury,0,0.0001738742,0.034901518,87.97,0.38709843,0.20563661,77.45771895,252.2516672,48.33961819,7.00559432,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Venus,0,0.0025637401,0.08656491,224.7,0.72332102,0.00676399,131.7675571,181.9797085,76.67261496,3.39777545,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Earth,0,0.0031457007,0.091130294,365.2422,1.00000018,0.01673163,102.9300589,100.4669157,-5.11260389,-0.00054346,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Mars,0,0.0003379953,0.048489079,686.98,1.52371243,0.09336511,-23.91744784,-4.56813164,49.71320984,1.85181869,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Jupiter,0,1,1,4332.82,5.20248019,0.0485359,14.27495244,34.33479152,100.2928265,1.29861416,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Saturn,0,0.299,0.832944,10755.67,9.54149883,0.05550825,92.86136063,50.07571329,113.639987,2.49424102,,,,,12/01/01,,,,1,1,0.00000001,5778,4.57
Uranus,0,0.0457,0.362775,30687.153,19.18797948,0.0468574,172.4340444,314.2027663,73.96250215,0.77298127,,,,1781,12/01/01,,,,1,1,0.00000001,5778,4.57
Neptune,0,0.053953,0.35221925,60190.03,30.06952752,0.00895439,46.68158724,304.2228929,131.7863585,1.7700552,,,,1846,12/01/01,,,,1,1,0.00000001,5778,4.57
Pluto,0,7.76E-06,0.0164379,90553.02,39.48686035,0.24885238,224.097026,238.9653501,110.3016799,17.1410426,,,,1930,12/01/01,,,,1,1,0.00000001,5778,4.57
HR 8799 b,0,5,0.7,166510,67.96,0,,,60.89,30.27,1100,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033
HR 8799 c,0,7,1,83255,42.81,0,,,65.68,29.43,1200,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033
HR 8799 d,0,7,1.1,41628,26.97,0,,,56.09,38.63,1200,,imaging,2008,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033
HR 8799 e,0,7,1,20816,16.99,0,,,145.73,30.95,1200,,imaging,2010,15/11/26,23 07 28.71507,+21 08 03.3053,39.4,1.516,1.44,-0.47,7193,0.033
Kapteyn b,0,0.015099,,48.616,0.168,0.21,80.4,,,,,,RV,2014,15/05/24,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.291,-0.86,3550,11
Kapteyn c,0,0.02202,,121.54,0.311,0.23,,,,,,,RV,2014,14/06/06,05 11 40.58112,-45 01 06.2899,3.91,0.281,0.291,-0.86,3550,11
83 Leonis B b,2,0.087,,17.054,0.12186,0.13,196,,,,,,RV,2004,15/11/02,11 26 45.32180,+03 00 47.1551,17.79,0.832,0.76,0.36,4740,4
83 Leonis B c,2,0.36,,4970,5.4,0.1,38,,,,,,RV,2010,15/11/02,11 26 45.32180,+03 00 47.1551,17.79,0.832,0.76,0.36,4740,4
Kepler-113 c,0,,0.198664,8.92507,,,,,,,,,transit,2014,14/02/24,19 11 59,+50 56 39,255.9,0.75,0.69,0.05,4725,6.89
Kepler-113 b,0,0.036805,0.165857,4.754,,,,,,,,,transit,2014,14/02/24,19 11 59,+50 56 39,255.9,0.75,0.69,0.05,4725,6.89
Kepler-454 b,0,0.02152,0.2114,10.57375339,0.0954,0,,,,87.09,,,transit,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23
Kepler-454 c,0,4.46,,523.9,1.286,0.0214,337.4,,,,,,RV,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23
Kepler-454 d,0,,,,,,,,,,,,RV,2015,16/01/09,19 09 54.841,+38 13 43.95,200,1.028,1.066,0.27,5687,5.23
KOI-285 b,0,,0.326,13.748933,0.118,0.17,,,,,934,,transit,2013,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2
KOI-285 c,0,,0.219,26.72311,0.184,0.04,,,,,748,,transit,2013,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2
KOI-285 d,0,,0.1844,49.3568,0.278,0.07,,,,,608,,transit,2014,15/06/09,19 16 21,+41 33 47,367.56,1.209,1.719,,5883,5.2
HAT-P-27 b,0,0.62,1.02,3.039577,0.04,0,,,,85,1102.7,,transit,2011,13/05/29,14 51 04,+05 56 50,204,0.92,0.87,0.14,5300,3.6
KOI-372 b,0,3.25,0.882,125.63243,0.4937,0.172,791,,,89.845,,,transit,2015,15/05/03,19 56 29.39,+41 52 00.3,,1.014,1.122,-0.01,5820,1
KOI-372 c,0,0.3194,,463.44,,0.1701,178.88,,,91.78,,,timing,2015,15/05/03,19 56 29.39,+41 52 00.3,,1.014,1.122,-0.01,5820,1
HAT-P-52 b,0,0.818,1.009,2.7535953,0.03694,,,,,87.02,1218,,transit,2015,15/03/13,02 50 53.20,+29 01 20.6,385,0.887,0.893,0.28,5131,9.4
HAT-P-42 b,0,0.975,1.277,4.641876,0.0575,0,,,,85.9,1427,,transit,2013,13/05/29,09 01 22,+06 05 50,447,1.179,1.528,0.27,5743,5.1
HD 11964 A b,2,0.622,,1945,3.16,0.041,,,,,,,RV,2005,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1
HD 11964 A c,2,0.079,,37.91,0.229,0.3,,,,,,,RV,2005,12/12/08,01 57 09,-10 14 32,33.98,1.125,2.18,0.17,,13.1
HD 209458 b,0,0.714,1.38,3.52474859,0.04747,0.0004,,,,86.59,1316.1,,transit,1999,14/04/18,22 03 10,+18 53 04,47,1.148,1.146,0.02,6075,4
KOI-135 b,0,3.23,1.22,3.02409309,0.0444,0.017,52,,,84.57,,,transit,2011,15/12/03,19 00 58,+46 40 06,1950,1.27,1.38,0.4,6050,2.3
HD 30669 b,0,0.47,,1684,2.69,0.18,82,,,,,,RV,2014,15/11/21,04 48 28.48561,-28 25 09.4699,57.1,0.92,0.91,0.13,5400,4.8
Gliese 221 b,0,0.13,,125.06,0.448,,118,131,,,,,RV,2013,13/05/13,05 53 00,-05 59 41,20,0.637,,-0.07,4040,3
Gliese 221 c,0,0.0196,,3.8731,0.044,,94,,,,,,RV,2013,13/05/13,05 53 00,-05 59 41,20,0.637,,-0.07,4040,3
HD 67087 b,0,3.06,,352.2,1.08,0.17,,,,,,,RV,2015,15/03/26,08 07 39.75457,+31 33 04.7381,88.8,1.36,1.55,0.25,6330,1.45
HD 67087 c,0,4.85,,2374,3.86,0.76,,,,,,,RV,2015,15/03/26,08 07 39.75457,+31 33 04.7381,88.8,1.36,1.55,0.25,6330,1.45
WASP-84 b,0,0.7,0.975,8.5234865,0.0775,0.018,,,,88.275,832,,transit,2013,14/09/22,08 44 26,+01 51 36,125,0.854,0.768,0.09,5280,1
Kepler-98 b,0,0.011167,0.181349,1.54168,,,,,,,,,transit,2014,14/02/24,19 02 39,+37 57 52,437.2,0.99,1.11,0.18,5539,2.79
WASP-104 b,0,1.272,1.137,1.7554137,0.02918,,,,,83.63,1516,,transit,2014,14/08/06,10 42 24,+07 26 06,143,1.076,0.963,0.32,5475,3
CoRoT-20 b,0,4.24,0.84,9.2,0.0902,0.562,,,,88.21,1002,,transit,2011,11/06/14,06 30 53,+00 13 37,1230,1.14,1.02,0.14,5880,0.1
HD 109271 b,0,0.054,,7.8543,0.079,0.25,-64,,,,1076,,RV,2013,13/01/14,12 33 35,-11 37 18,62,1.047,,0.1,5783,7.3
HD 109271 c,0,0.076,,30.93,0.196,0.15,4,,,,684.9,,RV,2013,13/01/14,12 33 35,-11 37 18,62,1.047,,0.1,5783,7.3
WASP-109 b,0,0.91,1.443,3.3190233,0.0463,,,,,84.28,1695,,transit,2014,14/10/14,15 28 13.23,-16 24 38.8,330,0.91,1.346,-0.22,6520,2.6
beta Pic b,0,11,1.65,8167,9.25,0.07,155.85,,31.75,89.01,1600,,imaging,2008,15/08/22,05 47 17,-51 03 59,19.3,1.6,,,9790,0.023
Kepler-440 b,0,,0.166,101.11141,0.242,,,,,89.93,,,transit,2015,15/01/28,19 01 23.99,+41 27 07.9,261,0.575,0.559,-0.3,4134,1.3
Kepler-439 b,0,,0.2,178.1396,0.563,,,,,89.95,,,transit,2015,15/01/28,18 43 12.38,+44 02 02.4,693,0.884,0.866,0.02,5431,7.2
HD 175607 b,0,0.0283,,8.98,,0.11,142,,,,,,RV,2015,15/11/15,19 01 05.49,-66 11 33.65,45.27,0.71,0.7,-0.62,5392,10.32
HD 175607 c,0,0.11,,1336.61,,0.42,14,,,,,,RV,2015,15/11/15,19 01 05.49,-66 11 33.65,45.27,0.71,0.7,-0.62,5392,10.32
HD 113337 b,0,2.83,,324,0.92,0.46,-140.8,,,,,,RV,2013,13/10/10,13 01 47,+63 36 37,36.9,1.4,1.5,0.07,,0.15
KOI-188 b,0,0.25,0.978,3.79701816,0.0464,,,,,87.02,1070,,transit,2014,14/10/02,19 21 26,+40 34 04,650,0.93,0.86,0.24,5170,5
HD 113538 b,0,0.36,,663.2,1.24,0.14,74,,,,,,RV,2010,15/11/21,13 04 57.47691,-52 26 34.5223,15.87,0.585,0.53,-0.24,4462,4.3
HD 113538 c,0,0.93,,1818,2.44,0.2,280,,,,,,RV,2010,15/11/21,13 04 57.47691,-52 26 34.5223,15.87,0.585,0.53,-0.24,4462,4.3
HD 166724 b,0,3.53,,5144,5.42,0.734,202,,,,,,RV,2011,12/11/29,18 14 00,-42 34 31,42.3,0.81,,-0.09,5150,4
Qatar-1 b,0,1.33,1.164,1.42002504,0.02343,0,,,,83.82,1389,,transit,2010,13/04/02,20 13 32,+65 09 43,,0.85,0.8,0.2,4910,4.5
1RXS1609 b,0,,1.7,,,,,,,,2000,,imaging,2008,15/07/29,16 09 30,-21 04 58,145,0.85,1.35,,4060,0.011
HD 219134 b,0,0.012,0.1433,3.0931,0.038474,0,0,,,85.058,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
HD 219134 c,0,0.011,,6.7635,0.064816,0,0,,,,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
HD 219134 d,0,0.028,,22.805,0.14574,0,0,,,,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
HD 219134 e,0,0.067,,46.71,0.23508,0,0,,,,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
HD 219134 f,0,0.034,,94.2,0.3753,0,0,,,,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
HD 219134 g,0,0.34,,2247,3.11,0.06,215,,,,,,RV,2015,15/10/20,23 13 16.97632,+57 10 06.0823,6.546,0.794,0.778,0.11,4699,12.9
KOI-523.02,0,0.00535,0.26428,36.855,,,,,,,,,transit,2013,13/09/13,19 04 11,+45 03 11,1387.37,0.93,0.98,,6197,1.8
KOI-523.01,0,0.01982,0.64703,49.412,,,,,,,,,transit,2013,13/09/13,19 04 11,+45 03 11,1387.37,0.93,0.98,,6197,1.8
61 Vir b,0,0.016,,4.215,0.050201,0.12,105,,,,,,RV,2009,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571,6.3
61 Vir c,0,0.0573,,38.021,0.2175,0.14,341,,,,,,RV,2009,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571,6.3
61 Vir d,0,0.0721,,123.01,0.476,0.35,314,,,,,,RV,2009,15/11/02,13 18 24.31427,-18 18 40.3047,8.52,0.95,0.963,0.05,5571,6.3
Kepler-452 b,0,,0.148542,384.843,1.046,,,,,89.806,265,,transit,2015,15/07/23,19 44 00,+44 16 39,430,1.037,1.11,0.21,5757,6
HD 217786 b,2,13,,1319,2.38,0.4,100,,,,,,RV,2010,16/01/22,23 03 08.205,-00 25 46.66,54.9,1.02,1.27,-0.135,5966,7.6
WASP-97 b,0,1.32,1.13,2.07276,0.03303,,,,,88,1555,,transit,2013,13/10/22,01 38 25,-55 46 19,,1.12,1.06,0.23,5640,11.9
KOI-1873.02,0,0.07046,0.2096,34.921,,,,,,,,,transit,2013,13/09/13,19 43 14,+40 00 30,1680.75,0.98,0.97,,6134,0.3
KOI-1873.01,0,0.10286,0.4921,71.312,,,,,,,,,transit,2013,13/09/13,19 43 14,+40 00 30,1680.75,0.98,0.97,,6134,0.3
HD 31253 b,0,0.5,,466,1.26,0.3,244,,,,,,RV,2010,15/11/03,04 54 43.65327,+12 21 07.9133,50.3,1.23,1.71,0.16,5960,3
HD 1605 b,0,0.96,,577.9,1.48,0.078,,,,,,,RV,2015,15/03/26,00 20 31.51872,+30 58 29.2948,84.6,1.31,3.8,0.21,4757,4.59
HD 1605 c,0,3.48,,2111,3.52,0.098,,,,,,,RV,2015,15/03/26,00 20 31.51872,+30 58 29.2948,84.6,1.31,3.8,0.21,4757,4.59
HATS-16 b,0,3.27,1.3,2.686502,0.03744,,,,,83.53,,,transit,2015,15/11/26,23 54 14.04,-30 00 46.8,774,0.97,1.238,0.1,5738,9.5
tau Boo A b,2,6.13,,3.3124568,0.049,0.011,113.4,,,44.5,2000,,RV,1996,14/03/04,13 47 15.74340,+17 27 24.8552,15.62,1.39,1.42,0.26,6399,0.9
Kepler-67 b,0,,0.267923,15.7259,0.1171,,,,,,,,transit,2013,13/06/26,19 36 37,+46 09 59,1107,0.865,0.778,0.012,5331,1
Kepler-50 b,0,0.015963,0.155832,7.81254,0.077,,,,,82,,,transit,2012,13/02/17,19 12 24,+50 02 01,269.79,1.24,1.58,0.03,6225,3.8
Kepler-50 c,0,0.026041,0.1977527,9.37647,0.087,,,,,82,,,transit,2012,13/02/17,19 12 24,+50 02 01,269.79,1.24,1.58,0.03,6225,3.8
42 Dra b,0,3.88,,479.1,1.19,0.38,218.7,,,,,,RV,2009,15/09/24,18 25 59.13734,+65 33 48.5288,96.5,0.98,22.03,-0.46,4200,9.49
HD 86226 b,0,0.92,,1695,2.84,0.15,193,,,,154,,RV,2010,12/11/29,09 56 30,-24 05 58,42.48,1.06,1.02,0.05,5940,1.5
Kepler-424 b,0,1.03,0.89,3.3118644,0.044,,,,,,1143,,transit,2014,15/12/03,19 54 29,+48 34 38,661.72,1.01,0.94,0.44,5460,12.2
Kepler-424 c,0,6.97,,223.3,0.73,0.3185,,,,,,,RV,2014,14/09/30,19 54 29,+48 34 38,661.72,1.01,0.94,0.44,5460,12.2
Gliese 163 b,0,0.033344,,8.63182,0.0607,0.073,70.702992,6.359832,,,,,RV,2012,16/02/03,04 09 15.66350,-53 22 23.3050,15,0.4,,,,5.5
Gliese 163 c,0,0.021391,,25.63058,0.1254,0.099,227.005878,24.522594,,,302,,RV,2012,16/02/03,04 09 15.66350,-53 22 23.3050,15,0.4,,,,5.5
Gliese 163 d,0,0.092484,,,1.0304,0.373,118.258489,144.958322,,,,,RV,2013,16/02/03,04 09 15.66350,-53 22 23.3050,15,0.4,,,,5.5
Kepler-100 c,0,,0.200487,12.8159,0.11,0.02,,,,89.8,,,transit,2014,14/02/24,19 25 32,+41 59 24,296.6,1.08,1.49,0.02,5825,6.46
Kepler-100 b,0,0.0231,0.120292,6.88705,0.0727,0.13,,,,87.1,,,transit,2014,14/02/24,19 25 32,+41 59 24,296.6,1.08,1.49,0.02,5825,6.46
