Year,Albania,Argentina,Australia,Austria,Belgium,Brazil,Bulgaria,Canada,Chile,China,Colombia,Costa Rica,Croatia,Cyprus,Czechia,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Ireland,Israel,Italy,Japan,Latvia,Lithuania,Luxembourg,Malta,Mexico,Montenegro,Netherlands,New Zealand,North Macedonia,Norway,Peru,Poland,Portugal,Romania,Serbia,Slovakia,Slovenia,South Africa,South Korea,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
1880,,,0.0,0.0,0.06,,,0.0,,,,,,,,0.1,,0.23,0.25,0.0,0.0,,,,,,0.0,0.03,,,,,,,0.0,0.17,,0.22,,,,,,,,,,,0.12,0.0,,0.13,0.09
1890,,,0.0,0.0,0.11,,,0.0,,,,,,,,0.28,,0.34,0.29,0.0,0.0,,,,,,0.0,0.07,,,,,,,0.0,0.39,,0.11,,,,,,,,,,,0.16,0.0,,0.16,0.14
1900,,,0.0,0.0,0.12,,,0.0,,,,,,,,0.46,,0.35,0.27,0.0,0.0,,,,,,0.0,0.1,,,,,,,0.0,0.51,,0.28,,,,,,,,,,,0.19,0.0,,0.29,0.17
1910,,,0.38,0.0,0.18,,,0.0,,,,,,,,0.44,,0.38,0.26,0.0,0.0,,,,,,0.0,0.1,,,,,,,0.0,0.72,,0.27,,,,,,,,,,,0.31,,,0.32,0.26
1920,,,0.57,0.0,0.21,,,0.01,,,,,,,,1.15,,0.19,0.23,,0.0,,,,,,0.0,0.1,,,,,,,0.0,1.07,,0.31,,,,,,,,,,,0.25,0.08,,0.56,0.4
1930,,,0.44,0.0,0.09,,,0.02,,,,,,,,0.7,,1.28,0.32,0.06,0.0,,,,0.62,,0.0,0.12,,,,,,,0.0,1.13,,0.64,,,,,,,,,,,0.89,0.26,,0.64,0.34
1960,,,1.91366959064328,2.63500874635568,1.68330793423997,,,2.09934879032258,,,,,,,,3.77833515482696,,1.79016627078385,2.1931724137931,3.16224938875306,1.32263855421687,,1.67430715935335,,2.46332603938731,,2.74482173174873,1.73316037735849,,,,,,,1.05459745762712,3.38776722090261,,2.02968409586057,,,0.631139784946237,,,,,,,0.732846473029046,2.50564019448947,1.56329181920996,,2.92035038363171,1.09367518248175
1961,,,2.0928216374269,2.66075801749271,1.70712832953581,,,2.2399060483871,,,,,,,,4.25793806921676,,1.81549881235154,2.4527724137931,3.2520293398533,1.26544337349398,,2.18016166281755,,2.40603938730853,,2.82716638370119,1.98212264150943,,,,,,,1.35475211864407,3.56199524940618,,2.14814814814815,,,0.651720430107527,,,,,,,0.707863070539419,2.56459643435981,1.62551238912877,,2.97296930946292,1.1615
1962,,,2.23125730994152,2.70367346938775,1.73094872483166,,,2.38046330645161,,,,,,,,4.44510018214936,,1.97593824228028,2.69446896551724,3.35178484107579,1.35123614457831,,2.43665127020785,,2.44695842450766,,2.82716638370119,2.09702830188679,,,,,,,1.70358050847458,3.56199524940618,,2.29820261437909,,,0.65858064516129,,,,,,,0.807796680497925,2.62355267423015,1.68773295904757,0.519282828282828,2.95542966751918,1.17845620437956
1963,,,2.14168128654971,2.78092128279883,1.85005070131091,,,2.52102056451613,,,,,,,,4.64395992714025,,2.1194893111639,2.90035862068966,3.41163814180929,1.35123614457831,,2.0519168591224,,2.58608315098468,,3.07420033955857,2.2502358490566,,,,,,,2.13353177966102,3.48456057007126,,2.44825708061002,,,0.809505376344086,,,,,,,0.79946887966805,2.9699205834684,1.72662081524683,0.514141414141414,2.97296930946292,1.22084671532847
1964,,,2.14982456140351,2.72942274052478,1.69918819777053,,,2.66157782258065,,,,,,,,4.56207650273224,,2.3137054631829,3.09729655172414,3.40166259168704,1.5013734939759,,2.42952655889146,,2.72520787746171,,3.27548726655348,2.36514150943396,,,,,,,2.22276694915254,3.49423990498812,,2.52723311546841,,,0.65858064516129,,,,,,,0.916058091286307,3.07309400324149,1.73439838648668,0.555272727272727,2.96419948849105,1.22084671532847
1965,,,2.22311403508772,2.8410029154519,2.35821913428901,,,2.80213508064516,,,,,,,,4.86621493624772,,2.73591448931116,3.17786206896552,3.62112469437653,1.5943156626506,,2.3226558891455,,2.73339168490153,,3.47677419354839,2.62367924528302,,,,,,,2.44179872881356,3.58135391923991,,2.51933551198257,,,0.830086021505376,,,,,,,1.07428630705394,3.2647017828201,1.78884138516563,0.565555555555555,3.10451662404092,1.23780291970803
1966,,,2.18239766081871,2.87533527696793,2.40585992488071,,,3.13550806451613,,,,,,,,5.32242258652095,,2.93013064133017,3.33899310344828,3.98024449877751,1.64436144578313,,2.48652424942263,,2.99527352297593,,3.61401528013582,2.62367924528302,,,,,,,2.7500656779661,3.7749406175772,,2.81944444444444,,,0.891827956989247,,,,,,,1.1908755186722,3.60370016207455,2.26327323079652,0.616969696969697,3.22729411764706,1.49214598540146
1967,,,2.01953216374269,3.09849562682216,2.35821913428901,,,3.4688810483871,,,,,,,,5.81372313296903,,3.39456057007126,3.44641379310345,4.12987775061125,1.60146506024096,,2.99950346420323,,3.26533916849015,,3.76040577249576,2.70028301886792,,,,,,,3.07455720338983,3.7749406175772,,2.90631808278867,,,0.912408602150538,,,,,,,1.52398755186722,3.8542641815235,2.37993679939427,0.627252525252525,3.39392071611253,1.99235401459854
1968,,,2.19054093567251,2.99549854227405,2.54084216489051,,,3.80225403225807,,,,,,,,6.14125683060109,,3.53811163895487,3.33004137931035,4.30943765281174,1.54426987951807,,3.29874133949192,,3.0198249452954,,3.83360101867572,2.70028301886792,,,,,,,3.35848728813559,3.80397862232779,,3.01688453159041,,,1.16623655913978,,,,,,,1.58228215767635,4.24484927066451,2.48104522551233,0.663242424242424,3.4026905370844,2.11952554744526
1969,,,2.30454678362573,3.17574344023324,2.72346519549202,,,4.13562701612903,,,,,,,,6.35181420765027,,3.60566508313539,3.64335172413793,4.29946210268949,1.54426987951807,,3.25599307159353,,3.1835010940919,,3.89764685908319,2.65240566037736,,,,,,,3.7154279661017,3.81365795724466,,3.24591503267974,,,1.3514623655914,,,,,,,1.78214937759336,4.29643598055105,2.53548822419129,0.74550505050505,3.30622250639386,2.17039416058394
1970,,,2.62213450292398,2.944,2.81874677667541,,,4.469,,,,,,,,6.11786156648452,,3.555,3.894,4.08,1.54426987951807,,3.085,,3.74,,4.0897843803056,3.045,,,,,,,4.08859322033898,4.075,,3.625,,,1.276,,,,,,0.234,2.007,4.547,2.57437608039054,0.65810101010101,3.429,2.323
1971,,,2.785,2.921,2.85050730373655,,,4.858,,,,,,,,6.422,,3.756,4.0692,4.537,1.63721204819277,,3.391,,3.981,,4.49235823429542,2.941,,,,,,,3.97502118644068,3.822,,3.79,,,1.419,,,,,,0.285,2.271,4.984,2.76103779014695,0.503858585858586,3.469,2.433
1972,,,2.761,2.909,2.97754941198107,,,4.841,,,,,,,,6.527,,3.754,4.2444,4.845,1.63721204819277,,4.075,,4.21,,4.84003565365026,3.099,,,,,,,3.829,3.976,,4.397,,,1.739,,,,,,0.216,2.531,5.073,2.84659107378531,0.344474747474747,3.557,2.491
1973,,,2.738,2.97,3.08077112492975,,,4.612,,,,,,,,6.358,,3.758,4.4196,5.183,1.5585686746988,,3.758,,4.545,,4.78513921901528,3.069,,,,,,,3.913,3.967,,4.5,,,1.902,,,,,,0.189,2.81,5.031,2.97880978486277,0.519282828282828,3.476,2.538
1974,,,3.12,3.22,3.08871125669503,,,4.605,,,,,,,,7.05,,3.764,4.5948,5.674,1.70155662650602,,4.569,,5.0,,4.80343803056027,3.629,,,,,,,4.01,4.431,,4.513,,,2.128,,,,,,0.171,2.891,5.498,3.19658177957858,0.694090909090909,4.143,2.769
1975,,,4.199,4.414,3.73186192968294,,,5.002,,,,,,,,7.292,,4.35,4.77,6.26,1.75160240963855,,4.916,,5.514,,4.79428862478778,3.899,,,3.63992,,,,4.447,4.812,,4.975,,,2.72,,,,,,0.241,3.213,5.769,3.75656690884782,0.86889898989899,4.486,2.988
1976,,,3.824,4.586,3.91448496028445,,,5.089,,,,,,,,7.341,,4.605,4.8916,6.274,1.95178554216867,,4.603,,5.29,,4.76684040747029,4.066,,,3.682,,,,4.414,4.533,,5.168,,,2.974,,,,,,0.211,3.409,6.021,3.82656505000648,0.678666666666667,4.487,3.049
1977,,,3.686,4.568,4.40677312973199,,,5.046,,,,,,,,7.143,,4.793,5.0132,6.207,2.17341686746988,,4.572,,4.941,,4.47405942275043,4.039,,,3.988,,,,4.527,4.833,,5.442,,,2.801,,,,,,0.279,3.702,6.784,3.82656505000648,0.488434343434343,4.378,3.114
1978,,,3.679,4.727,4.51793497444595,,,5.0,,,,,,,,7.276,,4.698,5.1348,6.264,2.24491084337349,,5.052,,5.214,,4.75769100169779,4.362,,,4.243,,,,4.615,5.206,,5.604,,,2.749,,,,,,0.303,3.897,6.841,3.75656690884782,0.411313131313131,4.351,3.14
1979,,,3.585,4.61,4.51793497444595,,,4.872,,,,,,,,7.438,,4.62,5.2564,6.135,2.2806578313253,,5.704,,5.602,,4.77598981324279,4.352,,,4.341,,,,4.676,5.301,,5.282,,,2.764,,,,,,0.534,3.877,6.757,3.77212205132752,0.509,4.252,3.217
1980,,,3.662,4.72,4.3988329979667,,,5.015,,,,,,,,7.344,,4.611,5.378,6.303,2.54518554216867,,5.175,,6.065,,5.09621901528014,4.454,,,4.433,,,,4.768,5.05,,5.312,,,2.989,,,,,,0.693,3.961,7.107,3.81100990752678,0.694,4.532,3.458
1981,,,3.572,4.465,4.63703695092519,,,5.185,,,,,,,,7.481,,4.742,5.4996,6.54,2.70247228915663,,5.32,,5.826,,4.86748387096774,4.495,,,4.551,,,,4.863,5.387,,5.346,,,3.098,,,,,,0.71,4.005,7.142,3.88100804868543,0.276,4.71,3.579
1982,,,3.593,4.427,5.04198367095461,,,5.777,,,,,,,,7.511,,4.831,5.6212,6.361,2.88120722891566,,5.589,,5.695,,4.9681273344652,4.599,,,4.438,,,,5.073,5.108,,5.469,,,2.741,,,,,,0.849,4.11,7.197,3.97433890356364,0.415,4.498,3.822
1983,,,3.799,4.339,4.93876195800594,,,5.906,,,,,,,,7.255,,4.836,5.7428,6.278,2.90265542168675,,6.166,,5.596,,5.05962139219015,4.766,,,4.163,,,,5.029,5.007,,5.627,,,2.42,,,,,,0.949,4.536,7.109,4.1532230420802,0.365,4.666,3.871
1984,,,4.298,4.344,4.89112116741424,,,5.77,,,,,,,,6.805,,4.837,5.8644,6.387,2.84546024096386,,5.635,,5.299,,4.87663327674024,4.64,,,4.079,,,,4.833,4.673,,5.327,,,2.454,,,,,,0.997,4.218,6.942,4.11433518588095,0.891,4.563,3.786
1985,,,4.338,4.482,4.82760011329198,,,5.734,,,,,,,,6.755,,5.165,5.986,6.495,2.81686265060241,,5.839,,5.234,,4.9589779286927,4.584,,,4.139,,,,4.794,4.294,,5.275,,,2.874,,,,,,1.07,4.049,6.484,4.0754473296817,0.724,4.428,3.832
1986,,,4.402,4.565,4.77995932270028,,,5.878,,,,,,,,6.503,,5.295,6.004,6.437,3.08853975903614,,6.198,,5.093,,4.82173684210526,4.645,,,4.132,,,,4.687,4.347,,5.691,,,3.053,,,,,,0.963,3.97,6.286,4.059892187202,0.725,4.407,3.973
1987,,,4.275,4.779,5.05786393448518,,,5.828,,,,,,,,6.758,,5.426,6.022,6.507,2.95985060240964,,6.411,,4.752,,5.22431069609508,4.705,,,4.691,,,,4.798,4.859,,5.992,,,2.917,,,,,,0.969,4.019,6.359,3.98989404604334,0.699,4.421,4.101
1988,,,4.13,4.743,5.43105012745347,,,5.802,,,,,,,,6.899,,5.262,6.04,6.624,2.967,,6.906,,4.436,,5.389,4.59,,,4.879,,,,4.707,5.248,,5.888,,,3.185,,,,,,1.097,4.447,6.256,4.1221127571208,1.022,4.331,4.125
1989,,,4.118,4.715,5.35958894156593,,,5.944,,,,,,,,6.754,,5.333,6.058,6.058,3.387,,6.707,,4.261,,5.311,4.518,,,4.751,,,,4.917,5.386,,5.632,,,2.903,,,,,,1.279,4.472,6.32,3.98989404604334,1.293,4.249,4.27
1990,,,4.281,5.74,5.38340933686178,,,6.234,,,,,,,3.604,6.622,,5.802,6.076,6.058,3.285,,6.416,,4.109,,5.685,4.467,,,4.941,,,,4.978,5.495,,5.858,,3.936,3.581,,,,,,1.454,4.768,5.692,4.14544547084035,1.466,4.291,4.543
1991,,,4.466,5.792,5.558092235698,,,6.748,,,,,,,3.703,6.607,,6.681,6.217,6.6085,3.211,5.602,6.572,,4.468,,5.864,4.523,,,4.735,,,,5.219,5.84,,6.174,,4.175,3.75,,,,,,1.305,4.835,5.558,4.1843333270396,1.751,4.586,5.001
1992,,,4.496,6.048,5.665,,,6.89,,,,,,,3.762,6.592,,6.725,6.411,7.159,3.607,5.949,6.602,,4.703,,5.735,4.708,,,4.961,,,,5.632,5.713,,6.342,,4.259,3.627,,,,,,1.371,5.124,6.471,4.26400282636503,1.838,4.975,5.283
1993,,,4.494,6.467,5.701,,,6.673,,,,,,,5.002,6.82,,5.903,6.716,7.1,4.046,5.969,6.557,,4.769,,5.55,5.014,,,5.028,,,,5.78,5.307,,6.225,,3.925,4.008,,,,,,1.401,5.299,6.693,4.38717147219171,1.788,5.066,5.531
1994,,,4.506,6.828,5.502,,,6.335,,,,,,,5.095,6.602,,5.448,6.656,7.327,4.099,6.369,6.433,,4.677,,5.276,5.081,,,4.837,,,,5.624,5.375,,6.155,,3.628,3.992,,,,,,1.409,5.192,6.348,4.55793568046908,1.806,5.091,5.689
1995,,,4.593,6.716,5.774,,,6.072,,,,,,,5.115,6.374,,5.239,7.818,7.643,4.214,5.572,6.562,,4.526,4.702,4.88,5.046,,,5.101,,,,5.48,5.362,,6.098,,3.615,4.426,,,,,,1.422,5.064,6.24,4.782,1.72,4.668,5.798
1996,,,4.648,6.661,6.109,,,5.9,,,,,,,5.01,6.42,,5.316,7.809,7.942,4.265,5.361,6.562,,4.362,4.881,4.952,4.915,,,5.166,,,,5.042,5.284,,6.018,,3.865,4.776,,,,,,1.594,5.09,6.456,5.067,1.959,4.659,6.242
1997,,,4.766,6.781,5.785,,,5.803,,,,,,,5.002,6.331,,5.089,7.719,7.728,4.147,5.046,6.34,,4.359,4.912,5.135,5.08,,,4.896,,,,4.999,5.486,,6.244,,3.524,4.776,,,5.175,,,1.688,5.009,6.202,5.136,2.19,5.135,5.717
1998,,,4.904,6.902,5.833,,,6.004,,,,,,,5.006,6.118,,4.911,7.628,7.681,4.038,4.933,6.762,,4.23,4.593,5.117,5.214,,,5.03,,,,5.398,5.788,,6.855,,3.457,4.875,,,5.079,,,1.915,4.956,6.255,5.215,2.522,5.263,5.56
1999,,,5.105,7.037,5.938,,,5.81,,,,,,,5.193,6.937,4.366,4.841,7.624,7.716,4.254,4.905,7.176,,4.213,4.408,5.191,5.496,,,5.038,,2.058,,5.364,5.732,,6.882,,3.822,5.069,,,4.947,,,2.009,4.956,6.291,5.337,2.674,5.463,5.502
2000,,4.499,5.197,6.952,5.968,3.47,,5.771,3.752,0.986,4.312,4.335,,,5.12,6.735,3.974,5.257,7.56,7.722,4.464,4.721,7.189,0.939,4.573,4.289,5.496,5.658,2.758,4.247,4.857,,2.012,,5.321,5.828,,6.299,2.342,3.642,6.002,,,4.728,5.689,2.988,2.1,4.852,6.267,5.297,2.837,5.476,5.543
2001,,4.594,5.206,6.953,6.146,3.513,,6.012,3.77,0.971,4.577,4.297,,,5.239,7.046,3.746,5.408,7.659,7.743,5.049,4.653,7.058,0.909,5.014,4.528,5.774,5.861,2.812,4.304,5.28,,2.109,,5.612,5.792,,6.642,2.496,4.025,6.058,,,4.75,5.629,2.678,2.595,4.808,6.49,5.604,3.287,5.737,5.968
2002,,4.034,5.406,7.027,6.139,3.686,,6.135,3.837,1.109,4.495,4.65,,,5.56,7.293,3.601,5.73,7.935,7.904,4.978,4.954,7.653,0.877,5.271,4.574,5.897,5.937,2.857,4.543,5.614,,2.165,,6.053,6.154,,7.46,2.537,4.274,6.329,,,4.903,5.885,2.577,2.458,4.831,6.779,6.005,3.542,6.103,6.326
2003,,3.774,5.364,7.112,6.798,3.51,4.393,6.303,3.829,1.251,4.608,4.689,,,5.832,7.471,3.726,5.991,7.943,8.022,5.058,5.728,7.908,0.819,5.519,4.429,5.901,5.987,2.73,4.663,5.77,5.509,2.414,,6.354,6.049,,7.664,2.404,4.117,6.446,4.537,,4.783,5.898,3.137,2.594,5.378,6.914,6.23,3.57,6.316,6.523
2004,,3.746,5.529,7.125,7.001,3.467,4.117,6.335,3.658,1.295,4.407,4.431,,,5.638,7.526,3.834,6.126,8.008,7.666,4.745,5.46,7.551,0.801,5.698,4.338,6.226,6.049,3.484,3.668,6.067,5.604,2.587,,6.25,6.292,,7.323,2.354,3.975,6.73,4.075,,5.019,5.83,3.057,2.595,5.464,6.722,6.271,3.52,6.664,6.608
2005,,3.915,5.454,7.122,6.904,3.345,4.128,6.312,3.487,1.37,4.499,4.321,5.883,2.244,5.506,7.613,3.78,6.312,8.038,7.769,5.21,5.643,7.247,0.828,6.027,4.266,6.462,6.216,3.249,3.768,5.927,5.986,2.465,,6.224,6.592,,6.917,2.62,3.988,6.848,4.444,,4.96,5.876,3.076,2.741,5.533,6.708,6.308,3.315,6.792,6.628
2006,,4.019,5.452,7.091,6.814,3.542,3.659,6.487,3.265,1.391,4.712,4.641,5.935,2.336,5.32,7.69,3.605,6.402,8.021,7.628,5.088,5.501,6.981,0.805,5.85,4.304,6.56,6.174,3.51,3.951,5.495,6.027,2.422,,7.605,6.917,,6.595,2.228,4.018,5.938,4.029,,4.794,5.721,3.174,3.028,5.645,6.632,5.954,3.543,6.996,6.781
2007,,4.257,5.585,7.089,6.782,3.485,3.459,6.573,3.395,1.436,4.749,4.685,6.428,2.301,5.069,7.806,3.783,6.239,7.945,7.531,5.319,4.96,6.851,0.795,6.186,4.168,6.305,6.321,3.355,4.098,5.184,5.451,2.527,,7.611,6.863,,6.739,2.155,4.116,5.806,4.107,,4.974,5.372,3.247,3.117,5.725,6.598,5.846,3.603,6.996,6.886
2008,,4.509,5.695,7.29,7.273,3.505,3.534,6.702,3.802,1.73,4.911,5.121,6.511,2.528,5.197,7.991,4.401,6.456,8.032,7.694,5.768,4.88,6.86,0.836,7.239,4.258,6.628,6.566,3.369,4.484,5.441,5.092,2.617,,7.669,7.377,,6.698,2.171,4.569,5.994,4.09,,5.243,5.777,3.305,3.187,6.143,6.772,6.026,3.793,7.304,7.198
2009,,5.672,5.926,7.68,7.879,3.708,3.583,7.523,4.612,2.143,5.438,5.638,6.906,2.778,6.036,9.015,5.1,7.102,8.636,9.365,6.427,4.931,7.164,0.907,8.11,4.316,7.01,7.283,3.637,5.337,5.959,5.144,2.861,,8.312,7.799,,7.662,2.556,4.72,6.469,4.156,,5.841,6.241,3.767,3.521,6.837,7.237,6.452,4.423,8.091,7.833
2010,2.442,5.572,5.781,7.63,7.783,3.577,3.932,7.483,3.999,2.177,5.29,5.871,6.853,3.007,5.729,8.939,4.826,7.047,8.561,9.236,6.613,4.994,6.678,0.862,8.018,4.394,6.995,7.425,3.67,4.887,5.657,5.129,2.881,,8.467,7.787,4.161,7.541,2.459,4.596,6.678,4.608,5.89,5.535,6.288,3.972,3.605,6.789,6.863,6.391,3.916,8.006,7.889
2011,2.387,5.688,5.911,7.481,7.898,3.467,3.86,7.31,4.026,2.315,5.15,5.919,5.972,3.085,5.811,8.735,4.463,7.158,8.501,8.958,6.04,4.973,6.563,0.91,7.643,4.354,6.757,8.783,3.635,4.606,4.95,5.447,2.914,4.858,8.459,7.7,4.147,7.42,2.32,4.423,6.282,3.538,5.634,5.408,6.268,4.063,3.607,6.737,8.8,6.493,3.682,7.973,7.876
2012,2.474,6.144,5.859,7.617,8.033,3.356,3.845,7.41,4.212,2.547,4.984,5.766,6.102,3.038,5.844,8.877,4.471,7.495,8.596,9.006,5.899,4.853,6.538,0.903,7.625,4.433,6.665,8.957,3.265,4.225,4.386,5.496,3.007,5.304,8.654,7.769,4.268,7.44,2.496,4.359,5.921,3.641,5.829,5.46,6.271,4.051,3.626,6.601,9.041,6.781,3.519,7.957,7.853
2013,2.605,6.264,5.685,7.612,8.04,3.556,4.057,7.368,4.419,2.705,5.304,5.751,5.466,3.201,6.457,8.724,4.549,7.643,9.345,9.221,5.238,4.818,6.559,0.829,7.277,4.466,6.648,8.994,3.246,4.058,4.35,5.739,3.123,4.897,8.588,7.493,4.451,7.592,2.667,4.533,5.863,4.123,5.629,5.582,6.238,4.043,3.694,6.438,9.162,7.006,3.425,7.857,7.907
2014,2.617,6.361,6.658,7.673,8.079,3.709,4.493,7.241,4.602,2.804,5.474,5.59,5.49,2.993,6.282,8.705,4.76,7.631,9.479,9.281,4.542,4.725,6.624,0.829,6.778,4.496,6.689,9.025,3.26,4.184,4.366,5.571,2.892,4.858,8.568,7.48,4.083,7.97,2.967,4.437,5.774,3.967,5.429,5.542,6.046,3.954,3.81,6.386,9.199,7.016,3.357,7.85,13.372
2015,2.755,6.853,6.985,7.678,8.265,3.861,4.148,7.591,4.878,2.986,5.741,5.682,5.537,2.872,5.928,8.715,4.961,7.421,9.438,9.414,4.803,4.671,6.521,0.928,5.269,4.503,6.593,9.039,3.315,4.358,4.251,5.389,2.987,5.602,8.402,7.333,4.163,8.664,3.033,4.46,5.751,3.86,5.114,5.407,6.116,4.097,3.919,6.509,9.071,7.291,3.217,7.779,13.664
2016,2.842,5.619,6.942,7.657,8.305,3.952,4.128,7.688,4.983,2.892,5.731,5.494,5.561,2.8,5.826,8.63,5.003,7.148,9.521,9.473,5.186,4.756,6.6,0.947,5.415,4.536,6.492,8.957,3.426,4.42,4.24,5.651,2.848,5.31,8.358,7.271,4.119,9.043,3.067,4.53,5.793,3.919,4.903,5.621,6.166,4.096,4.082,6.405,9.144,7.398,3.361,7.772,13.912
2017,2.762,6.644,6.991,7.686,8.304,3.959,4.222,7.574,5.454,2.86,5.882,5.282,5.506,2.758,6.228,8.478,4.854,6.974,9.43,9.554,4.926,4.641,6.763,0.974,5.215,4.623,6.399,8.974,3.42,4.275,4.311,5.572,2.758,4.591,8.257,7.047,3.776,8.781,3.058,4.545,5.698,4.051,4.736,5.416,5.909,4.087,4.223,6.31,9.136,7.563,3.248,7.631,13.89
2018,2.878,5.965,7.009,7.724,8.337,3.897,4.33,7.577,5.524,2.914,5.892,5.379,5.542,2.877,6.342,8.457,4.952,6.959,9.345,9.638,4.808,4.572,6.901,0.972,5.1,4.712,6.413,9.002,3.706,4.387,4.421,5.437,2.672,5.007,8.238,7.158,3.768,8.591,3.197,4.524,5.763,4.433,5.12,5.369,6.029,4.163,4.517,6.321,9.276,7.331,3.191,7.658,13.796
2019,,5.954,7.361,7.865,8.107,3.93,4.295,7.641,5.656,3.002,6.284,5.339,5.579,3.857,6.463,8.473,5.081,7.136,9.273,9.827,5.046,4.323,7.048,0.998,4.98,4.832,6.384,9.201,3.972,4.646,4.603,5.473,2.678,5.086,8.392,7.206,4.267,9.042,3.281,4.627,5.789,4.618,5.315,5.544,6.204,4.39,4.964,6.454,9.221,7.536,3.387,7.836,13.813
2020,,,7.612,8.772,8.491,,5.353,9.701,6.354,,7.07,5.976,6.538,6.323,8.102,8.934,5.981,7.538,10.338,10.911,5.879,5.179,7.928,,5.598,5.893,7.329,9.28,4.737,5.287,4.952,,3.302,,9.472,7.785,,9.75,,4.692,6.807,5.035,,5.835,6.892,,5.234,7.849,9.877,8.221,3.641,9.923,15.949
2021,,,,9.555,,,,8.695,5.834,,,,,,,9.264,5.86,,,11.016,,5.303,8.06,,5.275,,7.145,,,5.507,,,,,,,,8.625,,4.785,7.171,,,,,,5.685,,9.787,,,9.898,
